date,product,product encoded,market,size,price
43467.00,Mutton Boneless,0,Mercury/Ikh Nayad,kg,
43467.00,Mutton Boneless,0,Nomin,kg,
43467.00,Mutton Boneless,0,Orgil,kg,
43467.00,Mutton Boneless,0,Sansar,kg,
43467.00,Mutton Boneless,0,Saruul,kg,
43467.00,Mutton Boneless,0,Tavan Erdene,kg,
43467.00,Mutton w/Bones,0,Bars,kg,7000
43467.00,Mutton w/Bones,0,Bayanzurkh,kg,6500
43467.00,Mutton w/Bones,0,Bumbugur,kg,6800
43467.00,Mutton w/Bones,0,Emart,kg,6900
43467.00,Mutton w/Bones,0,Kharkhorin,kg,6000
43467.00,Mutton w/Bones,0,Khuchit Shonkhor,kg,6500
43467.00,Mutton w/Bones,0,Max/M Mart,kg,6950
43467.00,Mutton w/Bones,0,Mercury/Ikh Nayad,kg,7500
43467.00,Mutton w/Bones,0,Nomin,kg,7399
43467.00,Mutton w/Bones,0,Orgil,kg,
43467.00,Mutton w/Bones,0,Sansar,kg,
43467.00,Mutton w/Bones,0,Saruul,kg,
43467.00,Mutton w/Bones,0,Tavan Erdene,kg,8000
43467.00,"Onion, China",0,Bars,kg,1000
43467.00,"Onion, China",0,Bayanzurkh,kg,1000
43467.00,"Onion, China",0,Bumbugur,kg,1000
43467.00,"Onion, China",0,Emart,kg,
43467.00,"Onion, China",0,Kharkhorin,kg,1000
43467.00,"Onion, China",0,Khuchit Shonkhor,kg,1000
43467.00,"Onion, China",0,Max/M Mart,kg,1300
43467.00,"Onion, China",0,Mercury/Ikh Nayad,kg,1500
43467.00,"Onion, China",0,Nomin,kg,1199
43467.00,"Onion, China",0,Orgil,kg,
43467.00,"Onion, China",0,Sansar,kg,1200
43467.00,"Onion, China",0,Saruul,kg,
43467.00,"Onion, China",0,Tavan Erdene,kg,1500
43467.00,"Potato, Mongolian",0,Bars,kg,600
43467.00,"Potato, Mongolian",0,Bayanzurkh,kg,800
43467.00,"Potato, Mongolian",0,Bumbugur,kg,800
43467.00,"Potato, Mongolian",0,Emart,kg,680
43467.00,"Potato, Mongolian",0,Kharkhorin,kg,600
43467.00,"Potato, Mongolian",0,Khuchit Shonkhor,kg,700
43467.00,"Potato, Mongolian",0,Max/M Mart,kg,999
